,Ph1-Ph2,Ph1-Ph3,Ph1-Ph4,Ph1-Ph5,Max_Delta_Stress,Recovery_Delta_Last_Phase,Resilience_Index,population_max_delta_stress,stress_factor
100,3.595020655,3.394536895,3.766071526,3.672638455,3.766071526,3.672638455,0.1127441840293854,0.0934330710000002,0.6095688773614314
208,3.590796934,3.673012962,3.394194039,3.568870077,3.590796934,3.568870077,0.026458785677653775,0.021926856999999966,0.4627083588613442
209,3.660296909,3.706395711,3.793030421,3.684289892,3.793030421,3.684289892,0.13121544739794253,0.10874052900000031,0.6321574183057423
210,4.005778163,3.892661057,3.966716989,3.892009467,4.005778163,3.892009467,0.1372828556454828,0.11376869599999972,0.810416248312562
211,3.842553486,3.868074328,3.577543839,3.932750033,3.842553486,3.932750033,-0.10883872257375658,-0.09019654700000013,0.6736522118215845
212,3.711719241,3.298133872,3.527181807,3.974024932,3.711719241,3.974024932,-0.3165200584925548,-0.2623056909999999,0.5640277372242201
215,3.574242293,3.326248314,3.994300657,3.42228211,3.994300657,3.42228211,0.6902455805095986,0.5720185470000003,0.8007993810700597
216,3.64612589,3.727545385,4.11055627,3.704801525,4.11055627,3.704801525,0.4896177247676707,0.40575474499999986,0.8982085914348195
217,3.724921044,3.668240376,3.659466028,3.49495892,3.724921044,3.49495892,0.27749159639678594,0.2299621239999996,0.5750893726363623
219,3.700888924,3.496173207,3.737483194,3.548849731,3.737483194,3.548849731,0.22762096588446995,0.1886334630000004,0.5856150503254361
220,3.704235844,3.675237144,3.700199848,3.606322828,3.704235844,3.606322828,0.11815006160694534,0.09791301599999969,0.5577574869214151
231,3.664098935,3.678294621,3.648070995,3.34135101,3.664098935,3.34135101,0.3894547301276464,0.32274792500000027,0.5241272430881802
233,3.63553824,4.187896347,3.772816218,3.605600705,3.772816218,3.605600705,0.20177627009862534,0.16721551299999993,0.6152201754357316
235,4.086764441,3.992015451,4.216712828,4.072396359,4.216712828,4.072396359,0.17414436200440328,0.1443164690000005,0.9871559224322559
237,3.909118633,3.665369006,3.400694946,3.609208696,3.909118633,3.609208696,0.3618964973266188,0.2999099369999998,0.7294263653421046
239,4.016607518,3.959762478,3.808822781,3.57613555,4.016607518,3.57613555,0.5315104393815485,0.44047196799999977,0.8194900374577768
244,3.634280944,3.808013968,3.686719173,3.760969588,3.686719173,3.760969588,-0.08959678156161861,-0.07425041499999985,0.5430804743772616
245,3.921977367,3.952143669,3.869838837,3.582643465,3.921977367,3.582643465,0.40946876181023084,0.33933390200000035,0.740200547275415
246,4.123201104,3.899918168,3.757493244,3.942793726,4.123201104,3.942793726,0.2176946814205732,0.1804073779999995,0.9088035490747007
256,3.609926218,3.837899602,3.973441443,3.844864503,3.973441443,3.844864503,0.1551517255094312,0.12857693999999986,0.7833216910718179
260,3.519311748,3.677393921,3.527817946,3.175811883,3.527817946,3.175811883,0.42476005467412403,0.3520060629999997,0.4099390057751262
261,3.686142318,3.567241287,3.938268252,3.743536446,3.938268252,3.743536446,0.2349797382988571,0.19473180600000006,0.7538504881517585
263,3.296063854,3.646359999,3.512796523,3.276785872,3.512796523,3.276785872,0.2847902566451978,0.23601065099999996,0.3973527321731365
264,3.734628371,3.953423647,3.660135354,3.817135806,3.734628371,3.817135806,-0.09956039479246645,-0.08250743500000013,0.5832230277212357
269,3.571603912,3.79255602,3.553600535,3.444511289,3.571603912,3.444511289,0.15336062405879067,0.12709262300000024,0.44662675153685766
278,3.038565336,3.081789502,3.010994032,3.143759076,3.038565336,3.143759076,-0.12693559415701186,-0.10519373999999981,0.0
279,3.333436745,3.495579725,3.44411246,3.535321725,3.44411246,3.535321725,-0.11006075309613861,-0.09120926500000026,0.3398031638656395
280,3.63523531,3.638035405,3.426530454,3.293429394,3.63523531,3.293429394,0.41245170134498294,0.3418059160000002,0.49994275128635596
281,3.523247678,3.725867622,3.638903591,3.765156673,3.638903591,3.765156673,-0.1523475634369873,-0.12625308199999985,0.5030163607782783
282,3.409087929,3.523497649,3.253965058,3.302752344,3.409087929,3.302752344,0.12831344015345847,0.10633558500000007,0.31045652141056906
283,3.571710439,3.510810078,3.579572577,3.869572151,3.579572577,3.869572151,-0.3499378216894881,-0.28999957399999987,0.45330360218759824
284,3.578774193,3.636967075,3.320792342,3.173120633,3.578774193,3.173120633,0.4894956264555968,0.4056535600000002,0.4526346456271279
285,3.477988296,3.393024853,3.242527761,3.010930165,3.477988296,3.010930165,0.5635915346706807,0.46705813099999993,0.3681873282948109
287,3.46396729,3.453713943,3.327931463,3.508292121,3.46396729,3.508292121,-0.0534860606619196,-0.0443248310000004,0.35643929232703725
288,3.576802107,3.418299705,3.467938642,3.383255402,3.576802107,3.383255402,0.23354969598292544,0.1935467049999997,0.4509822579696698
289,3.444087663,3.17395645,3.485162085,3.652128541,3.485162085,3.652128541,-0.20147573702247548,-0.16696645600000037,0.37419816169700876
292,3.508427638,3.523532009,3.470857206,3.530346995,3.508427638,3.530346995,-0.02644973554828108,-0.021919356999999806,0.3936920948323448
304,3.537717461,3.648915512,3.384499664,3.458452354,3.537717461,3.458452354,0.09564792974338758,0.07926510700000033,0.4182336929240738
305,4.024399521,3.986232186,4.124296566,4.084163114,4.124296566,4.084163114,0.04842839103535945,0.04013345200000007,0.9097214237961959
