subject,n_components,explained_variance_ratio
100,1,0.14038081395935617
100,2,0.27324680342003604
100,3,0.3953270428757694
100,4,0.5126707457266793
100,5,0.628367940143956
100,6,0.7348916790838155
100,7,0.8094117852914209
100,8,0.8751172195430776
100,9,0.9257378238945482
100,10,0.953725600847604
100,11,0.9732160057866998
100,12,0.9907368500876851
100,13,0.9952763070280003
100,14,0.999169939485457
100,15,1.0
208,1,0.19046095180303674
208,2,0.3239787582428826
208,3,0.4504124156237924
208,4,0.5698788426498734
208,5,0.6800404298166514
208,6,0.7696085137839339
208,7,0.8356296848815825
208,8,0.8749527665840211
208,9,0.9054801241678256
208,10,0.935238712975193
208,11,0.9551998741684427
208,12,0.9750521829617556
208,13,0.9935362001854119
208,14,0.9978236553982223
208,15,1.0
209,1,0.20368193577403762
209,2,0.400909680390663
209,3,0.5284618741187526
209,4,0.6527036736950304
209,5,0.766578560806135
209,6,0.8337965460926603
209,7,0.8699125465883059
209,8,0.9039443871087649
209,9,0.9347008811707441
209,10,0.9611227416494131
209,11,0.980671308208435
209,12,0.9890998809773067
209,13,0.9942512939289254
209,14,0.9979687580040421
209,15,1.0
210,1,0.22602296143416617
210,2,0.36300791951269584
210,3,0.49006716729726796
210,4,0.6071452537532707
210,5,0.6886298421156037
210,6,0.7682224878157781
210,7,0.8330744398371537
210,8,0.8824180707091922
210,9,0.9178219546557476
210,10,0.9521976459056744
210,11,0.971915074915565
210,12,0.9886167952283353
210,13,0.9970981524209548
210,14,0.9991016988307194
210,15,1.0
211,1,0.2358460569771819
211,2,0.3693346239279838
211,3,0.4947867183446647
211,4,0.6127809801722081
211,5,0.7067146684792267
211,6,0.7832745224593901
211,7,0.8494301272461514
211,8,0.8956796542592947
211,9,0.9334310527532813
211,10,0.9587848962976124
211,11,0.9760130434700455
211,12,0.9915332112665516
211,13,0.9976705353714744
211,14,0.9989788123495581
211,15,1.0
212,1,0.16458556533222415
212,2,0.3221972949185912
212,3,0.4541556248853712
212,4,0.5839060809814227
212,5,0.6916633287528912
212,6,0.7749308117443765
212,7,0.8411393458426696
212,8,0.8967830312352718
212,9,0.9284201572853963
212,10,0.9523100884177682
212,11,0.9713760184394971
212,12,0.9895406317907578
212,13,0.9973880209585587
212,14,0.9987697691062659
212,15,0.9999999999999999
215,1,0.14483290566563845
215,2,0.28343226470624716
215,3,0.41554903001935267
215,4,0.5367545636350983
215,5,0.65072721907973
215,6,0.7444485565647468
215,7,0.8173717217727428
215,8,0.8855176195796037
215,9,0.9291688214329077
215,10,0.9502788054803253
215,11,0.96958888814572
215,12,0.9861962428811458
215,13,0.9955517956982107
215,14,0.9987837434820762
215,15,1.0
216,1,0.1733156004825075
216,2,0.3071290887580994
216,3,0.4362826649841881
216,4,0.5594195354622491
216,5,0.674841381873836
216,6,0.7590815288036094
216,7,0.825895341861709
216,8,0.8826167988135396
216,9,0.9233413899470685
216,10,0.9523776353936777
216,11,0.9702841632885755
216,12,0.9880321797278321
216,13,0.9980099620653148
216,14,0.9991350254629296
216,15,0.9999999999999999
217,1,0.24268457898831014
217,2,0.38868767702214063
217,3,0.5184260700831359
217,4,0.6186254594332241
217,5,0.693921710764117
217,6,0.7618252243038565
217,7,0.8197175570384735
217,8,0.8689425666971868
217,9,0.9091583341134524
217,10,0.948029189898058
217,11,0.9655017502932953
217,12,0.9809512167107721
217,13,0.9911266969509153
217,14,0.9981169531583164
217,15,0.9999999999999999
219,1,0.16601681341307867
219,2,0.29792190596697926
219,3,0.41324553832676925
219,4,0.5180611604034654
219,5,0.616737596571721
219,6,0.6988885602767642
219,7,0.7781453293384072
219,8,0.845028438301135
219,9,0.902346272501273
219,10,0.9296268856085801
219,11,0.9550061109656509
219,12,0.9730379883113971
219,13,0.9886184739203258
219,14,0.9986170375942433
219,15,1.0000000000000002
220,1,0.18937308418571444
220,2,0.33257479114318955
220,3,0.4624488385806693
220,4,0.5900534636540972
220,5,0.7017670608708828
220,6,0.778443085219036
220,7,0.8485584251901657
220,8,0.9018468310261334
220,9,0.9320218756566281
220,10,0.9586738302275194
220,11,0.9792359879190412
220,12,0.9931068641204539
220,13,0.9994731793101215
220,14,0.9999999999999999
220,15,0.9999999999999999
231,1,0.1379305335199887
231,2,0.26317388620858967
231,3,0.3836352337780389
231,4,0.49925903793265786
231,5,0.6121220395583826
231,6,0.7159945479575164
231,7,0.8037098567119539
231,8,0.8705695006425189
231,9,0.9313636841803978
231,10,0.9514328581520252
231,11,0.9704731809218291
231,12,0.9823626000259003
231,13,0.9937102915438094
231,14,0.9979180105047739
231,15,1.0000000000000002
233,1,0.2087200674416665
233,2,0.37146452925306783
233,3,0.5041133157148532
233,4,0.6160781591800447
233,5,0.7242027654221826
233,6,0.8146620818775993
233,7,0.8800790315048018
233,8,0.912816010095684
233,9,0.9364129907451887
233,10,0.9584402256621313
233,11,0.9767175164284045
233,12,0.9892701049209333
233,13,0.9958155046276876
233,14,0.9996932588781152
233,15,0.9999999999999999
235,1,0.1869708245934095
235,2,0.36065188014403193
235,3,0.49373775390017716
235,4,0.6214462193223875
235,5,0.7379299733083247
235,6,0.8043327449599733
235,7,0.861793929044206
235,8,0.9071720456809174
235,9,0.9422107125185952
235,10,0.9713172521510764
235,11,0.9839028780528944
235,12,0.993313677676522
235,13,0.9976116760462441
235,14,0.9990134121913722
235,15,0.9999999999999998
237,1,0.1429893926765683
237,2,0.2755621400567372
237,3,0.40252197315666766
237,4,0.5247851059029762
237,5,0.6358096980556557
237,6,0.7381995128669544
237,7,0.8370141898369947
237,8,0.9012097287865669
237,9,0.9290510565132326
237,10,0.9497032959468464
237,11,0.9692532292594304
237,12,0.9841058438813742
237,13,0.9953815573027828
237,14,0.9990716152828694
237,15,1.0000000000000002
239,1,0.1952350920691
239,2,0.36116957620837586
239,3,0.4980558771026885
239,4,0.6297494109475541
239,5,0.7077291298610258
239,6,0.7743850977385281
239,7,0.8322819930205931
239,8,0.8815608197329317
239,9,0.9280315489321973
239,10,0.9587649835013925
239,11,0.9826464037209729
239,12,0.9912997771708184
239,13,0.9978248157739349
239,14,0.9995827874552535
239,15,1.0
244,1,0.25283240392069317
244,2,0.38667062677051145
244,3,0.5021722376161273
244,4,0.6010992683496872
244,5,0.6851970900845447
244,6,0.7566244433926188
244,7,0.824428219103386
244,8,0.8817784574829716
244,9,0.9218097884644483
244,10,0.9588072918400922
244,11,0.9790923329956308
244,12,0.9949171652387184
244,13,0.9987267061278594
244,14,0.9996241903262542
244,15,1.0
245,1,0.18248224400727558
245,2,0.31927173170635936
245,3,0.4404729783388801
245,4,0.5591040040748211
245,5,0.6664755502405821
245,6,0.7502023497241994
245,7,0.8168770342973719
245,8,0.8792745777812365
245,9,0.9200252469442435
245,10,0.9492703616256208
245,11,0.9709384869396024
245,12,0.986423336211014
245,13,0.9974636847310718
245,14,0.9989056918178468
245,15,1.0
246,1,0.21775482141401845
246,2,0.3569290703536668
246,3,0.4904460050795941
246,4,0.6210528500093117
246,5,0.7309393781547058
246,6,0.8122430184088538
246,7,0.8722871288591557
246,8,0.9159628108289124
246,9,0.9529188050572011
246,10,0.9699478994802193
246,11,0.9852741971795742
246,12,0.9942987258061894
246,13,0.9971000934811028
246,14,0.9996656464282024
246,15,1.0
256,1,0.1779854806287764
256,2,0.304597087144349
256,3,0.4247647092786112
256,4,0.5404054358152779
256,5,0.6535238961255809
256,6,0.7243901639554142
256,7,0.7922267353520273
256,8,0.8453538139819623
256,9,0.8955919108596787
256,10,0.9247309886053406
256,11,0.9527468635995616
256,12,0.9722086219168616
256,13,0.9853895192283195
256,14,0.9930605575567688
256,15,0.9999999999999998
260,1,0.21487771488822816
260,2,0.3760916392528538
260,3,0.5140453643486502
260,4,0.6400875650005795
260,5,0.7467065163510536
260,6,0.8152103820411684
260,7,0.8727056501584032
260,8,0.9095526722459714
260,9,0.9462507563679585
260,10,0.9663303951854315
260,11,0.9783447133634194
260,12,0.9882819801349552
260,13,0.9977073755841657
260,14,0.9994532799095247
260,15,1.0
261,1,0.18923743333198045
261,2,0.33821862768963173
261,3,0.4779754105868619
261,4,0.6012018593875421
261,5,0.7073401292545569
261,6,0.793786893865529
261,7,0.8593624149642
261,8,0.9024112449846879
261,9,0.9276544861910235
261,10,0.9496042781343249
261,11,0.9677710528712816
261,12,0.9836471703014421
261,13,0.9986840637785208
261,14,0.9996197502355448
261,15,1.0
263,1,0.22384936035517713
263,2,0.3635879462467401
263,3,0.48852879933902227
263,4,0.6032908853543675
263,5,0.6899299656366444
263,6,0.7736053759515098
263,7,0.8398670856964983
263,8,0.8767692576314028
263,9,0.9130677100126721
263,10,0.9454002287543394
263,11,0.9640182411457009
263,12,0.9816147377331983
263,13,0.9955055030467908
263,14,0.9992509193480331
263,15,1.0000000000000002
264,1,0.15339727137549025
264,2,0.29743304530632414
264,3,0.41668913679853653
264,4,0.5332338982842606
264,5,0.645196178233337
264,6,0.7524149662121062
264,7,0.8288302595734847
264,8,0.8948854651360144
264,9,0.9227720311372257
264,10,0.9430239831866452
264,11,0.9620197781376538
264,12,0.9793975529329584
264,13,0.9886981035279101
264,14,0.9978155570981403
264,15,1.0000000000000002
269,1,0.1762238876490283
269,2,0.32315658944753956
269,3,0.4588163678283912
269,4,0.576747275355731
269,5,0.6810912001108609
269,6,0.7644176926482698
269,7,0.8315022678265754
269,8,0.8951134346845837
269,9,0.932531513742588
269,10,0.9562108722924239
269,11,0.9748539387051874
269,12,0.9843517244448916
269,13,0.9934423548143247
269,14,0.9986615029459212
269,15,1.0000000000000002
278,1,0.15486889941221782
278,2,0.2887152163388537
278,3,0.41560992403763386
278,4,0.5416183805710577
278,5,0.6580334531353424
278,6,0.7692804691245088
278,7,0.8382212299454006
278,8,0.8877059174950056
278,9,0.9222879027456012
278,10,0.9512999973221526
278,11,0.9710131455622635
278,12,0.9888299380876148
278,13,0.9964378567102332
278,14,0.998856623151221
278,15,1.0
279,1,0.14652634997711242
279,2,0.27134855415729237
279,3,0.39585842860025167
279,4,0.5138423209823875
279,5,0.6287692705645943
279,6,0.7399270501602944
279,7,0.8081620902052022
279,8,0.8746396737354017
279,9,0.927184098912828
279,10,0.9468607615035247
279,11,0.9636610060203417
279,12,0.9795641282742029
279,13,0.989630111546149
279,14,0.998914659460374
279,15,0.9999999999999998
280,1,0.2107218054472064
280,2,0.3439081109709151
280,3,0.45213931333867274
280,4,0.5537654948094308
280,5,0.6511880575441256
280,6,0.7329279208884296
280,7,0.8049616606991882
280,8,0.8706124613457086
280,9,0.9198582353570565
280,10,0.951605569915421
280,11,0.9691830351333404
280,12,0.9826414951579556
280,13,0.9937253521872221
280,14,0.9987156913453868
280,15,1.0
281,1,0.15629770899749654
281,2,0.30389214863408054
281,3,0.4303563838435841
281,4,0.554525856471644
281,5,0.66847713985924
281,6,0.7477545957933779
281,7,0.8237763335682388
281,8,0.8863525388003433
281,9,0.9289686603734749
281,10,0.9539568748619264
281,11,0.9732945074281402
281,12,0.9881535591817235
281,13,0.998417448730325
281,14,0.999492729008364
281,15,1.0000000000000002
282,1,0.13645539003003646
282,2,0.26629197871427884
282,3,0.3878892400079456
282,4,0.5067003319589266
282,5,0.6211140064581221
282,6,0.7285431960006388
282,7,0.8081610236241119
282,8,0.8655217794053651
282,9,0.9078644106234394
282,10,0.9369194520206255
282,11,0.9573213930037383
282,12,0.9762641143622468
282,13,0.9944280457792607
282,14,0.9995905769704911
282,15,1.0
283,1,0.21373690860321234
283,2,0.362012862223691
283,3,0.47680192032692303
283,4,0.5902263139879652
283,5,0.6835708270412965
283,6,0.765870012030361
283,7,0.830082851796873
283,8,0.879264184720546
283,9,0.9184471298619062
283,10,0.9501792105881943
283,11,0.9697235812543733
283,12,0.9883913662764321
283,13,0.9968014527952551
283,14,0.9996024380571722
283,15,1.0000000000000002
284,1,0.14821339708856449
284,2,0.29217225693367654
284,3,0.4221373076739793
284,4,0.5447474933369951
284,5,0.6561281676769802
284,6,0.7617842340928112
284,7,0.8291099676808189
284,8,0.8812279249273464
284,9,0.9243049038071971
284,10,0.9506414273357678
284,11,0.9709797229304125
284,12,0.98966973323645
284,13,0.9970920649397557
284,14,0.9992588756893013
284,15,1.0000000000000002
285,1,0.13635025959342867
285,2,0.2661136629640278
285,3,0.3934332979786046
285,4,0.5128517277119474
285,5,0.6248955019721664
285,6,0.73031766574829
285,7,0.8008265009910245
285,8,0.8635204847077248
285,9,0.9108485811707197
285,10,0.9508052821136139
285,11,0.9704712505793377
285,12,0.9842602075064191
285,13,0.9952409426619824
285,14,0.9985682377123447
285,15,1.0000000000000002
287,1,0.17186025179010425
287,2,0.3282765909456262
287,3,0.4567885752897842
287,4,0.5827788179870195
287,5,0.6968576993519412
287,6,0.7740529194986123
287,7,0.8389562752683528
287,8,0.9031123056852284
287,9,0.9274408626949637
287,10,0.9500607496167088
287,11,0.9692863547683109
287,12,0.9856276255835151
287,13,0.9938854082934326
287,14,0.9987173232233515
287,15,1.0000000000000002
288,1,0.17705231744841338
288,2,0.31244048975221045
288,3,0.4385773586383315
288,4,0.5554076797551136
288,5,0.6650150609261738
288,6,0.7419124482098776
288,7,0.8096530860751449
288,8,0.8742106210693448
288,9,0.9218582167925881
288,10,0.9460982355421393
288,11,0.9692962715131911
288,12,0.9876879918575373
288,13,0.9961239413266681
288,14,0.999414709298168
288,15,0.9999999999999999
